,GHM,acte_classant,duree_mediane
1,03C25,GDFA009,23.0
2,06K02,HHFE004,1.0
3,03K02,HBGD038,1.0
4,06C24,LMMA007,2.0
5,13C12,JKGD003,1.0
6,08C33,NDCA006,1.0
7,06K02,HEGE002,1.0
8,11C11,JCGE004,1.0
9,18C02,JJFA008,3.0
10,08C25,MEKA006,3.0
11,08C14,NCPA010,3.0
12,06C04,HHFA023,5.5
13,06C22,HFMC008,1.0
14,16C02,FFFA001,3.0
15,05C17,EJGA002,1.0
16,13C04,JLDC015,3.0
17,01C06,EBFA012,4.0
18,02C08,BBCA003,1.0
19,02C08,BAFA002,1.0
20,07C09,HLFA018,10.0
21,03C25,GDFA014,41.0
22,06C23,HHAA002,1.0
23,07C11,HMFA010,32.0
24,08C58,MEMC002,1.0
25,02C05,BFGA004,1.0
26,05K25,EEAF003,3.5
27,12C07,JHFA014,1.0
28,08C35,MEMA018,1.0
29,08C21,AHPA020,1.0
30,03C29,GDFA004,3.0
31,07C09,HLFC004,12.5
32,11C03,JCFA009,8.0
33,08C36,NZMA002,1.0
34,13C03,JKFA025,3.0
35,03C16,HDAA003,1.0
36,11C11,JCGE005,1.0
37,13C18,JJFA003,3.0
38,07C10,HNCA002,9.0
39,08C62,NDGA001,1.0
40,06C04,HFFA002,8.0
41,17C07,FCFA011,3.0
42,10C12,GHFA001,2.0
43,12C04,JGFA014,3.5
44,08C55,NDCA004,1.5
45,09C13,QZFA027,2.5
46,11C13,JCKE002,1.5
47,06C25,LMMA006,1.0
48,06C15,ZCQC002,1.0
49,08C39,MCFA005,1.0
50,17C07,GHFA002,4.0
51,11C02,JAFC005,5.0
52,21C05,JHCA004,1.0
53,06K02,HHEE001,1.0
54,09C05,QEFA016,1.0
55,05C17,EJGA003,1.0
56,08C42,FCFA001,1.0
57,03C24,HCFA005,2.0
58,07K02,HNLE001,1.0
59,03C12,FAFA005,1.0
60,07C12,HMKE001,4.0
61,11C07,JEFA007,4.0
62,03C16,GCFD001,1.0
63,06K02,HEFE003,1.0
64,13C15,JKFC003,3.0
65,03C20,CBMA004,1.0
66,09C10,QZFA038,2.0
67,10C10,QBFA005,3.0
68,02C02,BGDA002,1.0
69,06C03,HJFA017,14.0
70,06C22,HGCA006,2.0
71,03C09,HAFA015,1.0
72,17C06,FCFA013,3.0
73,03C09,GAMA007,1.0
74,03C24,HCEA001,1.0
75,08C42,NJFA005,1.0
76,03K02,HBGD021,1.0
77,08C39,MCCA010,2.0
78,02C11,BEJB002,1.0
79,09C03,QZMA006,1.0
80,08C22,NEKA003,5.5
81,08C54,NBMA002,1.0
82,13C03,JKFA032,68.0
83,09C03,GAFA007,1.0
84,08C58,MJEC001,1.0
85,11C13,JCQE002,1.0
86,06C16,HMCA008,39.0
87,04C03,LJJA001,6.5
88,10C10,QBFA012,2.0
89,07C09,HLFA019,8.0
90,09C10,PDFA001,1.0
91,03C25,GDFA005,28.0
92,03C26,HAFA006,1.0
93,03C25,HDFA005,32.0
94,03K02,HBGD356,1.0
95,06C24,HPBA001,6.0
96,09C06,QEFA004,1.0
97,13C04,JLDA001,8.0
98,13C04,JLCA007,2.0
99,02C08,BANP004,1.0
100,04C04,LLCC001,5.5
101,11C07,JEFA002,1.5
102,08C57,NGPA002,1.0
103,08C54,NFPA003,4.0
104,06C15,ZCJC001,4.0
105,03C25,HDFA003,29.5
106,08C37,NDPA011,1.0
107,06C13,HPPA002,7.0
108,12C11,JGFA006,9.0
109,08C46,AHPA001,1.0
110,03C16,GAMA015,1.0
111,08C21,PAPA003,1.0
112,06C24,LMMA004,4.0
113,08C22,NEKA008,8.0
114,07K02,HMLE002,1.0
115,07K02,HMQJ001,1.0
116,08C35,MEMA017,3.0
117,01C15,MJPA011,1.0
118,06K02,HHJE001,1.0
119,03C20,CBMD001,1.0
120,06C07,HEQE001,25.0
121,13C03,JKFA006,3.0
122,01C08,MJEA020,1.0
123,09C11,QEFA013,3.0
124,09C10,CAFA007,1.0
125,11C02,JDFA025,14.0
126,10C13,HFFC004,2.0
127,06C12,LMMC001,1.0
128,11C08,JFQA001,6.0
129,11C11,JCGE001,1.0
130,05C10,EDFA007,6.0
131,11C03,JADA001,3.0
132,10C11,FCFA020,1.5
133,06C07,HGSA001,6.0
134,05K06,EDAF006,2.0
135,03C07,LAFA024,1.0
136,09C04,QEFA019,2.0
137,08C50,NAFA004,1.0
138,06C08,HHFA020,9.0
139,17C07,GEQE013,4.0
140,06C25,LMMA001,1.5
141,08C61,NEJA001,5.0
142,14C05,JNJD002,1.0
143,09C10,QZJA011,1.0
144,03C10,FAFA006,1.0
145,09C06,QEMA004,1.0
